tweet,sentiment_label
b"RT @AbsoluteChelsea: Thomas Tuchel says Kai Havetz/Mason Mount/Christian Pulisic 'delivered' in the last two games - 'others need to fight'\xe2\x80\xa6",Negative
b'RT @Blue_Footy: Van der Vaart: "Mason Mount is a terrific footballer, and I think he can get even better as he gains some power"\n\n{Ziggo Sp\xe2\x80\xa6',Positive
b"RT @kwamebenaiah: It's now obvious Tuchel left Pulisic out of the squad becos he already knew Pulisic and was trying to sort out which othe\xe2\x80\xa6",Negative
b'RT @Blue_Footy: Van der Vaart: "Mason Mount is a terrific footballer, and I think he can get even better as he gains some power"\n\n{Ziggo Sp\xe2\x80\xa6',Positive
b"@ODDSbible This Mason Mount shit is weird. He's a good footballer, why wouldn't Lampard have played him?",Negative
b"RT @AbsoluteChelsea: Thomas Tuchel says Kai Havetz/Mason Mount/Christian Pulisic 'delivered' in the last two games - 'others need to fight'\xe2\x80\xa6",Negative
b'RT @FrankKhalidUK: Mason Mount since Thomas Tuchel became @ChelseaFC manager. \xf0\x9f\x92\x99 https://t.co/KqgCNZmksR',Negative
b'RT @CarlitoEsposit1: Breaking News:\n\nChristian Pulisic is a much better player than Mason Mount.',Positive
b'RT @FrankKhalidUK: Mason Mount since Thomas Tuchel became @ChelseaFC manager. \xf0\x9f\x92\x99 https://t.co/KqgCNZmksR',Negative
b'RT @wernerrXceo: Frank Lampard when Mason Mount says Tuchel is the best coach he worked with. https://t.co/SKELN5NLKB',Positive
b"RT @AbsoluteChelsea: Thomas Tuchel says Kai Havetz/Mason Mount/Christian Pulisic 'delivered' in the last two games - 'others need to fight'\xe2\x80\xa6",Negative
b"RT @kwamebenaiah: It's now obvious Tuchel left Pulisic out of the squad becos he already knew Pulisic and was trying to sort out which othe\xe2\x80\xa6",Negative
b"RT @ODDSbible: Frank Lampard when he hears his name linked with the England under-21 job, but then realises he can't play Mason Mount https\xe2\x80\xa6",Negative
b'RT @danwoff98: Jarrod Bowen has scored more goals in the Premier League this season than: \n\n\xe2\x80\xa2 Edinson Cavani [7]\n\xe2\x80\xa2 Sadio Man\xc3\xa9 [7]\n\xe2\x80\xa2 Jack Gr\xe2\x80\xa6',Positive
b'@FUT21News Mason Mount?',Negative
