tweet,sentiment_label
b'@wichitalifeict FC Barcelona soccer game at the Camp Nou in Barcelona, Spain! Messi scored 4 goals! \xe2\x9a\xbd\xef\xb8\x8f',Negative
b"RT @ActualiteBarca: Yaya Tour\xc3\xa9: \xc2\xab\xc2\xa0J'esp\xc3\xa8re que Messi restera au Bar\xc3\xa7a, c'est un joueur sp\xc3\xa9cial. Il veut s'amuser, je ne le vois pas en deho\xe2\x80\xa6",Negative
b'Messi and Ronaldo are both goats for me, I think it\xe2\x80\x99s personal opinion on who u think is better.',Positive
b'@brfootball Why is messi wearing puma shoes?',Negative
b'No entiendo a veces, todos los d\xc3\xadas veo fan\xc3\xa1ticos peleando quien es mejor entre Messi o CR7, mientras que hasta el\xe2\x80\xa6 https://t.co/2hGjayXsMK',Negative
b"RT @CrewsMat19: Did you know Messi can go without assisting for the next 525 games and he'd still have a better assist ratio than Ronaldo \xf0\x9f\x98\xb3\xe2\x80\xa6",Positive
b"@thomas56533083 @matbryant24 Dit il en pensant que Messi le visage du barca ne rapporte pas biens plus que ce qu'il coute.",Negative
b'RT @CrewsMat19: The reaction of the Barca bench to this Messi wonder goal will always be special \xf0\x9f\x98\x8d https://t.co/OA6v2vid4H',Positive
b"RT @PSG_WorldNation: @marcelobechler \n\n\xe2\x80\x9cBarcelone n'a pas encore fait de proposition pour renouveler Messi car ils ne savent pas ce qu'ils\xe2\x80\xa6",Negative
b'@stufcb_ @parkernaldo We eating Ronaldo and Messi on eid?\xf0\x9f\x98\xb3',Negative
b'RT @Lm10Messista: El Mundial 2014 de Lionel Messi est\xc3\xa1 infravalorad\xc3\xadsimo, la prensa os ha manipulado tanto que lo de Messi nunca hizo nada\xe2\x80\xa6',Negative
b'@Stocktwits I would expect y guys to check the figures before spreading your emails: https://t.co/60pWAhiujJ',Negative
b'este es uno de los mejores contenidos gratis sobre programaci\xc3\xb3n que he visto en espa\xc3\xb1ol. Todo un crack y adem\xc3\xa1s imp\xe2\x80\xa6 https://t.co/u6M0SfVKnc',Negative
b'messi: \xe2\x80\x9cquero o neymar. Ti vira\xe2\x80\x9d https://t.co/cYPODzuXqK',Negative
b'RT @demarkesports: \xe2\x9d\x93 "Ronaldo mu, Messi mi?"\n\n\xf0\x9f\x97\xa3\xef\xb8\x8f Ghezzal: "Messi." https://t.co/d4Pf9F1v2Y',Negative
