tweet,sentiment_label
b'RT @brijeshkalappa: Rahul Gandhi says it like it is\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/Zk30fRnelC',Negative
b'RT @CTRavi_BJP: Tourist politician Rahul Gandhi recently asked about BJP\xe2\x80\x99s DNA in a rally. BJP\xe2\x80\x99s DNA stands for \xe2\x80\x93 \nD \xe2\x80\x93 Development\nN \xe2\x80\x93 Nati\xe2\x80\xa6',Negative
b"RT @GeorgekurianINC: Brilliant rebuttal form Supriya Shrinate\n\nIssue isn't, has Rahul Gandhi has got himself vaccinated or hasn't, issue is\xe2\x80\xa6",Positive
b'RT @iamberagarwal: How many times did National Parties &amp; its leaders urge Tweeples to wear a mask/\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x95*:\n\nBJP- 77\nModi Ji- 10 \n\nCPIM &amp; Yec\xe2\x80\xa6',Positive
b'RT @theskindoctor13: @ANI Credit goes to @RahulGandhi ji who with his relentless taunts kept Modi govt on their toes and forced them to pur\xe2\x80\xa6',Negative
b'RT @GowdaManjula82: Tourist politician Rahul Gandhi recently asked about BJP\xe2\x80\x99s DNA in a rally. BJP\xe2\x80\x99s DNA stands for \xe2\x80\x93 \nD \xe2\x80\x93 Development\nN \xe2\x80\x93\xe2\x80\xa6',Negative
b'RT @Sanatani_shree: Rahul Gandhi is real secular\nIn Mandir                  In Dargaah https://t.co/Kx7CAkyKfA',Positive
b'RT @rohini_sgh: Rahul Gandhi will do a press conference.\n\nThen Modi ministers will mock and abuse him.\n\nThen Modiji will implement all that\xe2\x80\xa6',Negative
b"RT @YearOfTheKraken: Guess who's happy right now? Rahul Gandhi's ally and Communist ally Abbas Siddiqui in West Bengal. Man wanted Allah to\xe2\x80\xa6",Positive
b'RT @brijeshkalappa: Rahul Gandhi says it like it is\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/YUO2BCDTIt',Negative
b'RT @rohini_sgh: Rahul Gandhi will do a press conference.\n\nThen Modi ministers will mock and abuse him.\n\nThen Modiji will implement all that\xe2\x80\xa6',Negative
b'RT @Kalaignarnews: "\xe0\xae\xae\xe0\xae\xa3\xe0\xae\xbf \xe0\xae\x85\xe0\xae\x9f\xe0\xae\xbf\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xae\xa4\xe0\xaf\x81\xe0\xae\xae\xe0\xaf\x8d, \xe0\xae\x95\xe0\xae\x9f\xe0\xae\xb5\xe0\xaf\x81\xe0\xae\xb3\xe0\xaf\x8d \xe0\xae\xaa\xe0\xaf\x81\xe0\xae\xb0\xe0\xae\xbe\xe0\xae\xa3\xe0\xae\xae\xe0\xaf\x8d \xe0\xae\xaa\xe0\xae\xbe\xe0\xae\x9f\xe0\xaf\x81\xe0\xae\xb5\xe0\xae\xa4\xe0\xaf\x81\xe0\xae\xae\xe0\xaf\x8d\xe0\xae\xa4\xe0\xae\xbe\xe0\xae\xa9\xe0\xaf\x8d \xe0\xae\xae\xe0\xaf\x8b\xe0\xae\x9f\xe0\xae\xbf\xe0\xae\xaf\xe0\xae\xbf\xe0\xae\xa9\xe0\xaf\x8d \xe0\xae\x95\xe0\xaf\x8a\xe0\xae\xb0\xe0\xaf\x8b\xe0\xae\xa9\xe0\xae\xbe \xe0\xae\x92\xe0\xae\xb4\xe0\xae\xbf\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x81 \xe0\xae\xa8\xe0\xae\x9f\xe0\xae\xb5\xe0\xae\x9f\xe0\xae\xbf\xe0\xae\x95\xe0\xaf\x8d\xe0\xae\x95\xe0\xaf\x88\xe2\x80\x9d - \xe0\xae\xb0\xe0\xae\xbe\xe0\xae\x95\xe0\xaf\x81\xe0\xae\xb2\xe0\xaf\x8d \xe0\xae\x95\xe0\xae\xbe\xe0\xae\xa8\xe0\xaf\x8d\xe0\xae\xa4\xe0\xae\xbf \xe0\xae\xb5\xe0\xae\xbf\xe0\xae\xb3\xe0\xae\xbe\xe0\xae\x9a\xe0\xae\xb2\xe0\xaf\x8d!\n\nhttps://t.co/\xe2\x80\xa6',Negative
b"RT @timesofindia: Rahul Gandhi slams govt's Covid-19 strategy \n\nhttps://t.co/YT7amhB6c3 https://t.co/uFFI8pwcyB",Negative
b'RT @Sanatani_shree: Rahul Gandhi is real secular\nIn Mandir                  In Dargaah https://t.co/Kx7CAkyKfA',Positive
b'RT @yippeekiyay_dk: What Rahul Gandhi Thinks Today, Modi ji never Thinks even days after Tomorrow',Negative
