tweet,sentiment_label
b'Messi and Ronaldo are both goats for me, I think it\xe2\x80\x99s personal opinion on who u think is better.',Positive
b"RT @CrewsMat19: Did you know Messi can go without assisting for the next 525 games and he'd still have a better assist ratio than Ronaldo \xf0\x9f\x98\xb3\xe2\x80\xa6",Positive
b'@stufcb_ @parkernaldo We eating Ronaldo and Messi on eid?\xf0\x9f\x98\xb3',Negative
b'@floweringsnows @JakeM0NTGOMERY This is the right answer. No other athlete in the responses comes even close to wha\xe2\x80\xa6 https://t.co/OQpLCHOm5Z',Positive
b'Bir zamanlar Cristiano Ronaldo Yang\xc4\xb1n\nOnce upon a time Ronaldo Yang\xc4\xb1n\ntakip/follow \n@pastfootball_\xe2\x80\xa6 https://t.co/axKT2RIaQg',Negative
b'@Stocktwits I would expect y guys to check the figures before spreading your emails: https://t.co/60pWAhiujJ',Negative
b'RT @demarkesports: \xe2\x9d\x93 "Ronaldo mu, Messi mi?"\n\n\xf0\x9f\x97\xa3\xef\xb8\x8f Ghezzal: "Messi." https://t.co/d4Pf9F1v2Y',Negative
b'RT @objektifsport: \xf0\x9f\x93\xb8 Bir zamanlar Emre Bel\xc3\xb6zo\xc4\x9flu &amp; Cristiano Ronaldo https://t.co/0yhsmPYhHd',Negative
b'RT @lewis7i: \xe2\x80\xa2Alisson save vs Napoli \n\xe2\x80\xa2Ajax beating Madrid \n\xe2\x80\xa2Ronaldo hatrick to save Juve \n\xe2\x80\xa2The United comeback vs PSG\n\xe2\x80\xa2Liverpool beating B\xe2\x80\xa6',Negative
b'RT @GOAL_ID: Ronaldo tak mampu memberi impak di pentas Eropa bagi Juventus sejak didatangkan dari Real Madrid \xf0\x9f\x98\xac\n\nSaatnya berpisah? \xf0\x9f\xa4\x94\n\nhttps\xe2\x80\xa6',Positive
b'RT @ChampionsLeague: \xf0\x9f\xa4\xaf Sensational @Cristiano Ronaldo header against Roma in 2008!\n\n@ManUtd | #UCL https://t.co/PkLGXRh0DY',Positive
b'RT @FutbolStan_: MOTM awards this season:\n\nMessi: 18\nRonaldo + Neymar + Lewandowski: 17 https://t.co/KmhDP0p08H',Negative
b'@jornalana hahaha eita\xe2\x84\xa2',Positive
b'RT @TeamCRonaldo: Cristiano Ronaldo 2014 - 2017 was on different level \xf0\x9f\x98\xb3 https://t.co/o4jF6QP3Vf',Negative
b'RT @TimelineCR7: The greatest WEAK FOOT passer of all time.\n\nSo underrated.\n\nCristiano Ronaldo.\n\nhttps://t.co/e8xRr8gGLf',Positive
